feature_set,endpoint,model,fold,n_total,n_pos,pos_rate,roc_auc,avg_prec,mcc,bal_acc,best_params
pycsrml,ERa_agonist,RandomForest,0,9014,1040,0.1154,0.6488,0.2993,0.2175,0.5902,"{'max_features': 0.2, 'n_estimators': 400}"
pycsrml,ERa_agonist,RandomForest,1,9014,1040,0.1154,0.6311,0.2428,0.1642,0.5636,"{'max_features': 0.2, 'n_estimators': 400}"
pycsrml,ERa_agonist,RandomForest,2,9014,1040,0.1154,0.6655,0.2522,0.1748,0.5695,"{'max_features': 0.2, 'n_estimators': 200}"
pycsrml,ERa_agonist,RandomForest,3,9014,1040,0.1154,0.6247,0.2249,0.1773,0.5713,"{'max_features': 'sqrt', 'n_estimators': 200}"
pycsrml,ERa_agonist,RandomForest,4,9014,1040,0.1154,0.6993,0.299,0.2402,0.599,"{'max_features': 0.2, 'n_estimators': 400}"
chemotyper,AhR_agonist,RandomForest,0,9014,691,0.0767,0.8666,0.3584,0.3024,0.6384,"{'max_features': 0.2, 'n_estimators': 400}"
chemotyper,AhR_agonist,RandomForest,1,9014,691,0.0767,0.8456,0.3514,0.3105,0.6097,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,AhR_agonist,RandomForest,2,9014,691,0.0767,0.8671,0.4183,0.372,0.6532,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,AhR_agonist,RandomForest,3,9014,691,0.0767,0.8471,0.3566,0.281,0.6085,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,AhR_agonist,RandomForest,4,9014,691,0.0767,0.8158,0.3814,0.3649,0.6607,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,AhR_agonist,RandomForest,0,9014,691,0.0767,0.8638,0.367,0.343,0.6441,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,AhR_agonist,RandomForest,1,9014,691,0.0767,0.8453,0.3594,0.3142,0.6157,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,AhR_agonist,RandomForest,2,9014,691,0.0767,0.8696,0.404,0.3485,0.642,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,AhR_agonist,RandomForest,3,9014,691,0.0767,0.8458,0.3684,0.2893,0.6175,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,AhR_agonist,RandomForest,4,9014,691,0.0767,0.8188,0.3522,0.3516,0.6535,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,Aromatase_antagonist,RandomForest,0,9014,1084,0.1203,0.8064,0.4249,0.3399,0.6218,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,Aromatase_antagonist,RandomForest,1,9014,1084,0.1203,0.8271,0.4742,0.3756,0.6399,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,Aromatase_antagonist,RandomForest,2,9014,1084,0.1203,0.8401,0.4289,0.3363,0.6278,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,Aromatase_antagonist,RandomForest,3,9014,1084,0.1203,0.7855,0.4069,0.3052,0.6137,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,Aromatase_antagonist,RandomForest,4,9014,1084,0.1203,0.8485,0.4578,0.3374,0.6285,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,Aromatase_antagonist,RandomForest,0,9014,1084,0.1203,0.804,0.413,0.3125,0.6099,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,Aromatase_antagonist,RandomForest,1,9014,1084,0.1203,0.8192,0.4643,0.3732,0.6396,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,Aromatase_antagonist,RandomForest,2,9014,1084,0.1203,0.8371,0.4223,0.329,0.6235,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,Aromatase_antagonist,RandomForest,3,9014,1084,0.1203,0.7823,0.3922,0.3123,0.6163,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,Aromatase_antagonist,RandomForest,4,9014,1084,0.1203,0.8416,0.4382,0.3222,0.6246,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,TR_antagonist,RandomForest,0,9014,2103,0.2333,0.8227,0.5919,0.4115,0.677,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,TR_antagonist,RandomForest,1,9014,2103,0.2333,0.8219,0.6098,0.4285,0.6868,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,TR_antagonist,RandomForest,2,9014,2103,0.2333,0.8259,0.5952,0.4392,0.6915,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,TR_antagonist,RandomForest,3,9014,2103,0.2333,0.8443,0.6148,0.421,0.6765,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,TR_antagonist,RandomForest,4,9014,2103,0.2333,0.8256,0.5966,0.4345,0.6932,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,TR_antagonist,RandomForest,0,9014,2103,0.2333,0.8224,0.582,0.387,0.667,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,TR_antagonist,RandomForest,1,9014,2103,0.2333,0.8271,0.6095,0.4536,0.6964,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,TR_antagonist,RandomForest,2,9014,2103,0.2333,0.8233,0.593,0.4164,0.6805,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,TR_antagonist,RandomForest,3,9014,2103,0.2333,0.84,0.6145,0.4164,0.6767,"{'max_features': 'sqrt', 'n_estimators': 400}"
pycsrml,TR_antagonist,RandomForest,4,9014,2103,0.2333,0.8285,0.605,0.4288,0.6891,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,DT40_genotoxicity,RandomForest,0,9014,2781,0.3085,0.8019,0.6206,0.3925,0.6864,"{'max_features': 'sqrt', 'n_estimators': 400}"
chemotyper,DT40_genotoxicity,RandomForest,1,9014,2781,0.3085,0.7873,0.6235,0.3979,0.6823,"{'max_features': 'sqrt', 'n_estimators': 400}"
