bit_index,bit_name,accuracy,ct_prevalence,py_prevalence
240,bond:P=O_phosphate,1.0,0.01164854670512536,0.01164854670512536
239,bond:P=O_phosphate_trithio_phosphorothioate,1.0,0.00011093854004881296,0.00011093854004881296
238,bond:P=O_phosphate_thioate,1.0,0.0035500332815620148,0.0035500332815620148
237,bond:P=O_phosphate_thio,1.0,0.0013312624805857556,0.0013312624805857556
236,bond:P=O_phosphate_dithio,1.0,0.00299534058131795,0.00299534058131795
235,bond:P=O_phosphate_alkyl_ester,1.0,0.008431329043709785,0.008431329043709785
234,bond:P=C_phosphorane_generic,1.0,0.0,0.0
233,bond:P(=O)N_phosphoramide_phosphotriamide,1.0,0.0003328156201464389,0.0003328156201464389
232,bond:P(=O)N_phosphoramide_monoamidophosphate,1.0,0.0003328156201464389,0.0003328156201464389
231,bond:P(=O)N_phosphoramide_diamidophosphate,1.0,0.00044375416019525185,0.00044375416019525185
230,bond:P(=O)N_phosphonamide,1.0,0.0,0.0
229,bond:OZ_oxide,1.0,0.00044375416019525185,0.00044375416019525185
228,bond:OZ_oxide_peroxy,1.0,0.002218770800976259,0.002218770800976259
226,bond:NO_amino_oxy_generic,1.0,0.00865320612380741,0.00865320612380741
271,bond:S(=O)N_sulfonamide_ab-unsaturated,1.0,0.0003328156201464389,0.0003328156201464389
270,bond:S(=O)N_sulfonamide_ab-acetylenic,1.0,0.0,0.0
269,bond:quatS,1.0,0.0006656312402928778,0.0006656312402928778
267,bond:quatN_trimethyl_alkyl_acyclic,1.0,0.005546927002440648,0.005546927002440648
264,bond:quatN_ammonium_inorganic,1.0,0.002662524961171511,0.002662524961171511
263,bond:quatN_alkyl_acyclic,1.0,0.010982915464832483,0.010982915464832483
262,bond:QQ(Q~O_S)_sulfur_oxide,1.0,0.01497670290658975,0.01497670290658975
261,bond:QQ(Q~O_S)_sulfide_di-,1.0,0.0006656312402928778,0.0006656312402928778
260,bond:QQ(Q~O_S)_sulfhydride,1.0,0.00787663634346572,0.00787663634346572
259,bond:P~S_generic,1.0,0.009873530064344353,0.009873530064344353
258,bond:P~N_generic,1.0,0.002329709341025072,0.002329709341025072
257,bond:PO_phosphite,1.0,0.0007765697803416907,0.0007765697803416907
256,bond:PO_phosphite_generic,1.0,0.0007765697803416907,0.0007765697803416907
287,bond:S(=O)X_sulfonylhalide_fluoride,1.0,0.0003328156201464389,0.0003328156201464389
286,bond:S(=O)O_sulfuricAcid_generic,1.0,0.011870423785222987,0.011870423785222987
285,bond:S(=O)O_sulfonyl_triflate,1.0,0.002551586421122698,0.002551586421122698
284,bond:S(=O)O_sulfonicEster_cyclic_S-(any_in_ring),1.0,0.0016640781007321943,0.0016640781007321943
283,bond:S(=O)O_sulfonicEster_alkyl_S-C,1.0,0.0021078322609274463,0.0021078322609274463
282,bond:S(=O)O_sulfonicEster_alkyl_O-C_(H=0),1.0,0.0015531395606833815,0.0015531395606833815
281,bond:S(=O)O_sulfonicEster_aliphatic_(S-C),1.0,0.003106279121366763,0.003106279121366763
280,bond:S(=O)O_sulfonicEster_acyclic_S-C_(chain),1.0,0.0014422010206345684,0.0014422010206345684
279,bond:S(=O)O_sulfonicEster_acyclic_(S-C(ring)),1.0,0.002773463501220324,0.002773463501220324
278,bond:S(=O)O_sulfonicAcid_generic,1.0,0.028400266252496118,0.028400266252496118
277,bond:S(=O)O_sulfonicAcid_cyclic_(ring),1.0,0.016640781007321942,0.016640781007321942
275,bond:S(=O)O_sulfonicAcid_acyclic_(chain),1.0,0.011759485245174173,0.011759485245174173
274,bond:S(=O)O_sulfonate,1.0,0.031062791213667628,0.031062791213667628
273,bond:S(=O)N_sulfonylamide,1.0,0.03305968493454626,0.03305968493454626
303,bond:X~Z_halide-[N_P]_heteroatom,1.0,0.005103172842245396,0.005103172842245396
302,bond:X[any_!C]_halide_inorganic,1.0,0.06745063234967828,0.06745063234967828
301,bond:X[any]_halide,1.0,0.30829820279565123,0.30829820279565123
300,bond:Se~Q_selenohalide,1.0,0.0,0.0
299,bond:Se~Q_selenocarbon,1.0,0.00044375416019525185,0.00044375416019525185
298,bond:Se~Q_selenium_thioxo,1.0,0.0,0.0
297,bond:Se~Q_selenium_thio,1.0,0.0,0.0
296,bond:Se~Q_selenium_oxo,1.0,0.0003328156201464389,0.0003328156201464389
295,bond:S~N_generic,1.0,0.03694253383625472,0.03694253383625472
294,bond:S=O_sulfoxide,1.0,0.0032172176614155756,0.0032172176614155756
293,bond:S=O_sulfonyl_S_(connect_Z=2),1.0,0.007654759263368094,0.007654759263368094
291,bond:S=O_sulfonyl_cyanide,1.0,0.0,0.0
290,bond:S=O_sulfonyl_a_b-unsaturated,1.0,0.00022187708009762592,0.00022187708009762592
289,bond:S=O_sulfonyl_a_b-acetylenic,1.0,0.0,0.0
288,bond:S(=O)X_sulfonylhalide,1.0,0.0013312624805857556,0.0013312624805857556
319,bond:metal_group_III_other_Bi_oxo,1.0,0.00044375416019525185,0.00044375416019525185
318,bond:metal_group_III_other_Bi_organo,1.0,0.00022187708009762592,0.00022187708009762592
317,bond:metal_group_III_other_Bi_halide,1.0,0.00011093854004881296,0.00011093854004881296
316,bond:metal_group_III_other_Bi_generic,1.0,0.0006656312402928778,0.0006656312402928778
315,bond:metal_group_III_other_Al_oxy,1.0,0.0003328156201464389,0.0003328156201464389
314,bond:metal_group_III_other_Al_oxo,1.0,0.0,0.0
313,bond:metal_group_III_other_Al_organo,1.0,0.00011093854004881296,0.00011093854004881296
312,bond:metal_group_III_other_Al_halide,1.0,0.0,0.0
311,bond:metal_group_III_other_Al_generic,1.0,0.00044375416019525185,0.00044375416019525185
310,bond:metal_group_I_II_oxy,1.0,0.0,0.0
309,bond:metal_group_I_II_oxo,1.0,0.0,0.0
308,bond:metal_group_I_II_Ca_oxy_oxo,1.0,0.0,0.0
307,bond:X~Z_halide_oxo,1.0,0.0,0.0
306,bond:X~Z_halide-[O_S]_heteroatom,1.0,0.002440647881073885,0.002440647881073885
305,bond:X~Z_halide-[N_P]_heteroatom_N_generic,1.0,0.0012203239405369425,0.0012203239405369425
304,bond:X~Z_halide-[N_P]_heteroatom_N,1.0,0.0013312624805857556,0.0013312624805857556
335,bond:metal_group_III_other_Pb_sulfide,1.0,0.0,0.0
334,bond:metal_group_III_other_Pb_oxy,1.0,0.00011093854004881296,0.00011093854004881296
333,bond:metal_group_III_other_Pb_oxo,1.0,0.0,0.0
332,bond:metal_group_III_other_Pb_organo,1.0,0.00011093854004881296,0.00011093854004881296
331,bond:metal_group_III_other_Pb_halide,1.0,0.0,0.0
330,bond:metal_group_III_other_Pb_generic,1.0,0.00011093854004881296,0.00011093854004881296
329,bond:metal_group_III_other_In_phosphide_arsenide,1.0,0.00022187708009762592,0.00022187708009762592
328,bond:metal_group_III_other_In_oxy,1.0,0.0,0.0
327,bond:metal_group_III_other_In_halide,1.0,0.00022187708009762592,0.00022187708009762592
326,bond:metal_group_III_other_In_generic,1.0,0.00044375416019525185,0.00044375416019525185
325,bond:metal_group_III_other_generic_oxy,1.0,0.0015531395606833815,0.0015531395606833815
324,bond:metal_group_III_other_generic_oxo,1.0,0.00044375416019525185,0.00044375416019525185
323,bond:metal_group_III_other_generic,1.0,0.0039937874417572666,0.0039937874417572666
322,bond:metal_group_III_other_Bi_sulfide(II),1.0,0.0,0.0
321,bond:metal_group_III_other_Bi_sulfide,1.0,0.0,0.0
320,bond:metal_group_III_other_Bi_oxy,1.0,0.0003328156201464389,0.0003328156201464389
351,bond:metal_metalloid_As_oxo,1.0,0.0012203239405369425,0.0012203239405369425
350,bond:metal_metalloid_As_organo,1.0,0.0011093854004881295,0.0011093854004881295
349,bond:metal_metalloid_As_halide,1.0,0.0,0.0
348,bond:metal_metalloid_As_generic,1.0,0.0014422010206345684,0.0014422010206345684
347,bond:metal_metalloid_alkylSiloxane,1.0,0.006878189483026403,0.006878189483026403
346,bond:metal_group_III_other_Th_oxo,1.0,0.0,0.0
345,bond:metal_group_III_other_Th_halide,1.0,0.0,0.0
344,bond:metal_group_III_other_Th_generic,1.0,0.0,0.0
343,bond:metal_group_III_other_Sn_sulfide(II),1.0,0.0,0.0
342,bond:metal_group_III_other_Sn_sulfide,1.0,0.0,0.0
341,bond:metal_group_III_other_Sn_oxy,1.0,0.0007765697803416907,0.0007765697803416907
340,bond:metal_group_III_other_Sn_oxo,1.0,0.0,0.0
339,bond:metal_group_III_other_Sn_organo,1.0,0.0021078322609274463,0.0021078322609274463
338,bond:metal_group_III_other_Sn_halide,1.0,0.0012203239405369425,0.0012203239405369425
337,bond:metal_group_III_other_Sn_generic,1.0,0.002329709341025072,0.002329709341025072
336,bond:metal_group_III_other_Pb_sulfide(II),1.0,0.0,0.0
367,bond:metal_metalloid_Sb_sulfide,1.0,0.00011093854004881296,0.00011093854004881296
366,bond:metal_metalloid_Sb_oxy,1.0,0.0,0.0
365,bond:metal_metalloid_Sb_oxo,1.0,0.0,0.0
364,bond:metal_metalloid_Sb_organo,1.0,0.00011093854004881296,0.00011093854004881296
363,bond:metal_metalloid_Sb_halide,1.0,0.00011093854004881296,0.00011093854004881296
362,bond:metal_metalloid_Sb_generic,1.0,0.0003328156201464389,0.0003328156201464389
361,bond:metal_metalloid_oxy,1.0,0.008875083203905036,0.008875083203905036
360,bond:metal_metalloid_oxo,1.0,0.0013312624805857556,0.0013312624805857556
359,bond:metal_metalloid_B_oxy,1.0,0.0005546927002440647,0.0005546927002440647
358,bond:metal_metalloid_B_oxo,1.0,0.0,0.0
357,bond:metal_metalloid_B_organo,1.0,0.00022187708009762592,0.00022187708009762592
356,bond:metal_metalloid_B_halide,1.0,0.002773463501220324,0.002773463501220324
355,bond:metal_metalloid_B_generic,1.0,0.0035500332815620148,0.0035500332815620148
354,bond:metal_metalloid_As_sulfide(II),1.0,0.0,0.0
353,bond:metal_metalloid_As_sulfide,1.0,0.0,0.0
352,bond:metal_metalloid_As_oxy,1.0,0.0011093854004881295,0.0011093854004881295
383,bond:metal_transition_Cd_generic,1.0,0.00011093854004881296,0.00011093854004881296
382,bond:metal_transition_Ag_oxy_oxo,1.0,0.0,0.0
381,bond:metal_metalloid_trimethylsilane,1.0,0.0009984468604393166,0.0009984468604393166
380,bond:metal_metalloid_Te_sulfide(II),1.0,0.0,0.0
379,bond:metal_metalloid_Te_sulfide,1.0,0.0,0.0
378,bond:metal_metalloid_Te_oxy,1.0,0.0,0.0
377,bond:metal_metalloid_Te_oxo,1.0,0.0,0.0
376,bond:metal_metalloid_Te_organo,1.0,0.0,0.0
375,bond:metal_metalloid_Te_halide,1.0,0.0,0.0
374,bond:metal_metalloid_Te_generic,1.0,0.0,0.0
373,bond:metal_metalloid_Si_oxy,1.0,0.007211005103172842,0.007211005103172842
372,bond:metal_metalloid_Si_oxo,1.0,0.00011093854004881296,0.00011093854004881296
371,bond:metal_metalloid_Si_organo,1.0,0.008320390503660971,0.008320390503660971
370,bond:metal_metalloid_Si_halide,1.0,0.0008875083203905037,0.0008875083203905037
369,bond:metal_metalloid_Si_generic,1.0,0.00898602174395385,0.00898602174395385
368,bond:metal_metalloid_Sb_sulfide(II),1.0,0.00011093854004881296,0.00011093854004881296
399,bond:metal_transition_Mn_oxy_oxo,1.0,0.0,0.0
398,bond:metal_transition_Mn_generic,1.0,0.0,0.0
397,bond:metal_transition_Hg_sulfide(II),1.0,0.0,0.0
396,bond:metal_transition_Hg_sulfide,1.0,0.00011093854004881296,0.00011093854004881296
395,bond:metal_transition_Hg_oxy,1.0,0.00044375416019525185,0.00044375416019525185
394,bond:metal_transition_Hg_oxo,1.0,0.0,0.0
393,bond:metal_transition_Hg_organo,1.0,0.0013312624805857556,0.0013312624805857556
392,bond:metal_transition_Hg_halide,1.0,0.0006656312402928778,0.0006656312402928778
391,bond:metal_transition_Hg_generic,1.0,0.0015531395606833815,0.0015531395606833815
390,bond:metal_transition_Fe_generic,1.0,0.0003328156201464389,0.0003328156201464389
389,bond:metal_transition_Cu_oxy_oxo,1.0,0.0,0.0
388,bond:metal_transition_Cu_generic,1.0,0.00011093854004881296,0.00011093854004881296
387,bond:metal_transition_Cr_oxy,1.0,0.00022187708009762592,0.00022187708009762592
386,bond:metal_transition_Cr_oxo,1.0,0.00022187708009762592,0.00022187708009762592
385,bond:metal_transition_Cr_generic,1.0,0.00022187708009762592,0.00022187708009762592
384,bond:metal_transition_Cd_halide,1.0,0.00011093854004881296,0.00011093854004881296
415,bond:metal_transition_V_oxo,1.0,0.00011093854004881296,0.00011093854004881296
414,bond:metal_transition_V_generic,1.0,0.00011093854004881296,0.00011093854004881296
413,bond:metal_transition_Tl_halide,1.0,0.0,0.0
412,bond:metal_transition_Ti_oxy,1.0,0.0,0.0
411,bond:metal_transition_Ti_oxo,1.0,0.0,0.0
410,bond:metal_transition_Ti_organo,1.0,0.0,0.0
409,bond:metal_transition_Ti_generic,1.0,0.0,0.0
408,bond:metal_transition_Pt_oxy,1.0,0.0,0.0
407,bond:metal_transition_Pt_organo,1.0,0.0,0.0
406,bond:metal_transition_Pt_nitrogen,1.0,0.0,0.0
405,bond:metal_transition_Pt_halide,1.0,0.0003328156201464389,0.0003328156201464389
404,bond:metal_transition_Pt_generic,1.0,0.0003328156201464389,0.0003328156201464389
403,bond:metal_transition_oxy,1.0,0.0007765697803416907,0.0007765697803416907
402,bond:metal_transition_oxo,1.0,0.0005546927002440647,0.0005546927002440647
401,bond:metal_transition_Mo_sulfide,1.0,0.0,0.0
400,bond:metal_transition_Mo_oxy_oxo,1.0,0.00011093854004881296,0.00011093854004881296
221,bond:NN_hydrazine_alkyl_HH,1.0,0.0003328156201464389,0.0003328156201464389
220,bond:NN_hydrazine_alkyl_H2,1.0,0.00022187708009762592,0.00022187708009762592
219,bond:NN_hydrazine_alkyl_H,1.0,0.0003328156201464389,0.0003328156201464389
213,bond:N=O_N-nitroso,1.0,0.0034390947415132017,0.0034390947415132017
212,bond:N=O_N-nitroso_generic,1.0,0.0034390947415132017,0.0034390947415132017
211,bond:N=O_N-nitroso_dialkyl,1.0,0.0018859551808298202,0.0018859551808298202
210,bond:N=O_N-nitroso_alkyl_mono,1.0,0.0,0.0
209,bond:N=O_nitrite_neutral,1.0,0.0008875083203905037,0.0008875083203905037
208,bond:N=N_azo_oxy,1.0,0.00044375416019525185,0.00044375416019525185
430,chain:alkaneBranch_isodecyl_octyl_1_2-methyl,1.0,0.00011093854004881296,0.00011093854004881296
429,chain:alkaneBranch_isononyl_pentyl_1_1_1_3-metyl,1.0,0.0007765697803416907,0.0007765697803416907
427,chain:alkaneBranch_isooctyl_hexyl_2-methyl,1.0,0.002440647881073885,0.002440647881073885
426,chain:alkaneBranch_isooctyl_hexyl_2-ethyl,1.0,0.007654759263368094,0.007654759263368094
425,chain:alkaneBranch_isooctyl_heptyl_3-methyl,1.0,0.0017750166407810074,0.0017750166407810074
423,chain:alkaneBranch_neopentyl_C5,1.0,0.09729309962280897,0.09729309962280897
422,chain:alkaneBranch_t-butyl_C4,1.0,0.02884402041269137,0.02884402041269137
420,bond:metal_transition_Zn_phosphide,1.0,0.0,0.0
419,bond:metal_transition_Zn_generic,1.0,0.00011093854004881296,0.00011093854004881296
418,bond:metal_transition_W_oxo,1.0,0.0,0.0
417,bond:metal_transition_W_generic,1.0,0.0,0.0
416,bond:metal_transition_V_oxy,1.0,0.00011093854004881296,0.00011093854004881296
447,chain:alkeneBranch_diene_2_6-octadiene,1.0,0.0036609718216108274,0.0036609718216108274
446,chain:alkaneLinear_stearyl_C18,1.0,0.002662524961171511,0.002662524961171511
445,chain:alkaneLinear_hexadecyl_C16,1.0,0.007432882183270468,0.007432882183270468
444,chain:alkaneLinear_tetradecyl_C14,1.0,0.011537608165076547,0.011537608165076547
443,chain:alkaneLinear_dodedyl_C12,1.0,0.021189261149323273,0.021189261149323273
442,chain:alkaneLinear_decyl_C10,1.0,0.028178389172398493,0.028178389172398493
441,chain:alkaneLinear_octyl_C8,1.0,0.04526292433991569,0.04526292433991569
440,chain:alkaneLinear_hexyl_C6,1.0,0.06523186154870202,0.06523186154870202
439,chain:alkaneLinear_butyl_C4,1.0,0.13656534280008875,0.13656534280008875
438,chain:alkaneLinear_propyl_C3,1.0,0.24406478810738852,0.24406478810738852
437,chain:alkaneLinear_ethyl_C2_(connect_noZ_CN=4),1.0,0.28777457288662084,0.28777457288662084
432,chain:alkaneCyclic_propyl_C3,1.0,0.010982915464832483,0.010982915464832483
207,bond:N=N_azo_generic,1.0,0.007321943643221655,0.007321943643221655
206,bond:N=N_azo_cyanamide,1.0,0.0,0.0
205,bond:N=N_azo_aromatic,1.0,0.006545373862879965,0.006545373862879965
203,bond:N=C=O_isocyanate_thio,1.0,0.0011093854004881295,0.0011093854004881295
202,bond:N=C=O_isocyanate_generic,1.0,0.002329709341025072,0.002329709341025072
201,bond:N=C=O_isocyanate_[O_S],1.0,0.0034390947415132017,0.0034390947415132017
197,bond:N(=O)_nitro_N,1.0,0.0008875083203905037,0.0008875083203905037
196,bond:N(=O)_nitro_C,1.0,0.038384734856889285,0.038384734856889285
195,bond:N(=O)_nitro_aromatic,1.0,0.035389394275571334,0.035389394275571334
194,bond:N(=O)_nitro_ab-unsaturated,1.0,0.0006656312402928778,0.0006656312402928778
193,bond:N(=O)_nitro_ab-acetylenic,1.0,0.0,0.0
192,bond:N(=O)_nitrate_generic,1.0,0.00299534058131795,0.00299534058131795
462,chain:alkeneLinear_mono-ene_2-hexene,1.0,0.0179720434879077,0.0179720434879077
460,chain:alkeneLinear_diene_1_4-diene,1.0,0.0021078322609274463,0.0021078322609274463
459,chain:alkeneLinear_diene_1_3-butene,1.0,0.005879742622587086,0.005879742622587086
458,chain:alkeneLinear_diene_1_2-butene,1.0,0.036165964055913026,0.036165964055913026
450,chain:alkeneBranch_mono-ene_2-butene_2-propyl_(tiglate),1.0,0.004215664521854893,0.004215664521854893
449,chain:alkeneBranch_mono-ene_2-butene,1.0,0.025737741291324605,0.025737741291324605
448,chain:alkeneBranch_diene_2_7-octadiene_(linalyl),1.0,0.0016640781007321943,0.0016640781007321943
479,chain:aromaticAlkane_Ph-C2,1.0,0.029398713112935435,0.029398713112935435
478,chain:aromaticAlkane_Ph-C1-Ph,1.0,0.030508098513423565,0.030508098513423565
477,chain:aromaticAlkane_Ph-1_4-C1_acyclic,1.0,0.012979809185711117,0.012979809185711117
