feature_set,endpoint,model,fold,n_total,n_pos,pos_rate,roc_auc,avg_prec,mcc,bal_acc,best_params
pycsrml,AhR_agonist,RandomForest,4,9014,691,0.0767,0.8161,0.3581,0.2948,0.6269,fixed
chemotyper,Aromatase_antagonist,RandomForest,0,9014,1084,0.1203,0.8028,0.4214,0.33,0.6171,fixed
chemotyper,Aromatase_antagonist,RandomForest,1,9014,1084,0.1203,0.8258,0.4702,0.3662,0.6386,fixed
chemotyper,Aromatase_antagonist,RandomForest,2,9014,1084,0.1203,0.8436,0.4316,0.3347,0.6292,fixed
chemotyper,Aromatase_antagonist,RandomForest,3,9014,1084,0.1203,0.7843,0.4096,0.3171,0.6186,fixed
chemotyper,Aromatase_antagonist,RandomForest,4,9014,1084,0.1203,0.8478,0.4587,0.3384,0.6319,fixed
pycsrml,Aromatase_antagonist,RandomForest,0,9014,1084,0.1203,0.81,0.4317,0.3179,0.6139,fixed
pycsrml,Aromatase_antagonist,RandomForest,1,9014,1084,0.1203,0.8139,0.4599,0.3666,0.6436,fixed
pycsrml,Aromatase_antagonist,RandomForest,2,9014,1084,0.1203,0.833,0.4146,0.3394,0.6315,fixed
pycsrml,Aromatase_antagonist,RandomForest,3,9014,1084,0.1203,0.793,0.4089,0.3177,0.6203,fixed
pycsrml,Aromatase_antagonist,RandomForest,4,9014,1084,0.1203,0.8419,0.4508,0.3332,0.6279,fixed
chemotyper,TR_antagonist,RandomForest,0,9014,2103,0.2333,0.8221,0.5911,0.3948,0.6696,fixed
chemotyper,TR_antagonist,RandomForest,1,9014,2103,0.2333,0.8224,0.612,0.4321,0.6897,fixed
chemotyper,TR_antagonist,RandomForest,2,9014,2103,0.2333,0.8266,0.5965,0.4377,0.6911,fixed
chemotyper,TR_antagonist,RandomForest,3,9014,2103,0.2333,0.8425,0.6118,0.4195,0.6761,fixed
chemotyper,TR_antagonist,RandomForest,4,9014,2103,0.2333,0.8245,0.5966,0.4302,0.6908,fixed
pycsrml,TR_antagonist,RandomForest,0,9014,2103,0.2333,0.8161,0.5787,0.3986,0.6725,fixed
pycsrml,TR_antagonist,RandomForest,1,9014,2103,0.2333,0.8209,0.6094,0.4371,0.689,fixed
pycsrml,TR_antagonist,RandomForest,2,9014,2103,0.2333,0.824,0.5827,0.4236,0.6849,fixed
pycsrml,TR_antagonist,RandomForest,3,9014,2103,0.2333,0.8428,0.6161,0.4229,0.6802,fixed
pycsrml,TR_antagonist,RandomForest,4,9014,2103,0.2333,0.8299,0.6039,0.4478,0.6973,fixed
chemotyper,DT40_genotoxicity,RandomForest,0,9014,2781,0.3085,0.8019,0.62,0.392,0.6859,fixed
chemotyper,DT40_genotoxicity,RandomForest,1,9014,2781,0.3085,0.787,0.6256,0.4032,0.6855,fixed
chemotyper,DT40_genotoxicity,RandomForest,2,9014,2781,0.3085,0.7954,0.6471,0.4259,0.6959,fixed
chemotyper,DT40_genotoxicity,RandomForest,3,9014,2781,0.3085,0.7961,0.6323,0.4416,0.7027,fixed
